GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G1200590","2007-2011","FL",,,"Florida","12","Holmes County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12059",,,"Holmes County, Florida",33510,1410,180,121,55,177,39,145,131,66,257,239,"Holmes County, Florida",3695,250,130,84,43,90,32,101,84,53,121,96
"G1200610","2007-2011","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12061",,,"Indian River County, Florida",46363,13623,135,694,844,1522,1496,1374,916,1603,4071,968,"Indian River County, Florida",1472,803,78,216,212,275,382,281,207,297,473,236
"G1200630","2007-2011","FL",,,"Florida","12","Jackson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12063",,,"Jackson County, Florida",39869,3441,187,309,273,306,298,259,58,282,822,647,"Jackson County, Florida",1709,373,115,124,102,123,111,125,33,112,180,184
"G1200650","2007-2011","FL",,,"Florida","12","Jefferson County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12065",,,"Jefferson County, Florida",42096,1385,45,66,147,65,0,219,58,10,254,521,"Jefferson County, Florida",3868,249,50,50,96,64,104,133,43,16,125,178
"G1200670","2007-2011","FL",,,"Florida","12","Lafayette County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12067",,,"Lafayette County, Florida",49713,492,19,93,31,22,19,29,8,40,91,140,"Lafayette County, Florida",5519,133,30,60,36,32,31,33,13,41,49,76
"G1200690","2007-2011","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12069",,,"Lake County, Florida",47509,26410,668,1728,2367,3216,2428,2166,1687,3094,6805,2251,"Lake County, Florida",1054,1262,205,312,453,563,415,379,356,403,692,419
"G1200710","2007-2011","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12071",,,"Lee County, Florida",49444,63787,1001,4019,5961,7213,6935,6188,4633,7188,16353,4296,"Lee County, Florida",808,1880,265,454,531,612,731,617,539,701,1023,358
"G1200730","2007-2011","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12073",,,"Leon County, Florida",45827,49244,1150,2301,4067,4287,4556,3499,3084,4071,17496,4733,"Leon County, Florida",1051,1221,296,369,455,576,465,485,472,484,1059,466
"G1200750","2007-2011","FL",,,"Florida","12","Levy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12075",,,"Levy County, Florida",35920,3634,68,306,298,341,360,206,222,361,752,720,"Levy County, Florida",2265,425,49,161,131,164,139,84,110,112,190,199
"G1200770","2007-2011","FL",,,"Florida","12","Liberty County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12077",,,"Liberty County, Florida",40893,530,4,15,8,39,53,11,70,44,29,257,"Liberty County, Florida",6960,147,7,24,10,31,39,19,30,57,24,100
"G1200790","2007-2011","FL",,,"Florida","12","Madison County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12079",,,"Madison County, Florida",36557,1743,73,215,59,151,100,112,153,97,482,301,"Madison County, Florida",2322,274,55,116,46,101,103,65,106,90,179,100
"G1200810","2007-2011","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12081",,,"Manatee County, Florida",48181,35509,810,1813,3114,4027,4160,3530,2750,3694,9206,2405,"Manatee County, Florida",1020,1207,196,378,460,461,434,420,425,444,743,348
"G1200830","2007-2011","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12083",,,"Marion County, Florida",40103,28990,659,1500,2198,2746,3099,2398,2017,3117,7915,3341,"Marion County, Florida",694,1325,218,381,377,461,437,430,341,390,761,475
"G1200850","2007-2011","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12085",,,"Martin County, Florida",53612,12570,292,953,1003,1583,1390,1367,971,1182,2842,987,"Martin County, Florida",1430,812,112,264,247,351,299,284,251,319,396,250
"G1200860","2007-2011","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12086",,,"Miami-Dade County, Florida",43957,350001,6255,12867,25556,33416,36277,32023,24843,38494,119714,20556,"Miami-Dade County, Florida",421,3638,589,930,1254,1398,1615,1391,1360,1506,2619,1091
"G1200870","2007-2011","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12087",,,"Monroe County, Florida",53889,10094,173,342,862,973,895,1230,940,1180,2813,686,"Monroe County, Florida",1913,599,86,110,209,198,219,257,198,264,345,185
"G1200890","2007-2011","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12089",,,"Nassau County, Florida",58933,5572,335,557,673,597,614,653,373,272,782,716,"Nassau County, Florida",2608,521,148,180,219,166,199,208,145,109,238,200
"G1200910","2007-2011","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12091",,,"Okaloosa County, Florida",54140,23672,409,1294,2277,2760,3037,2016,1845,2166,5286,2582,"Okaloosa County, Florida",1476,1035,149,271,358,387,446,327,315,356,554,376
