GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G2000170","2015-2019","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20017",,,"Chase County, Kansas",45353,203,5,19,11,47,15,35,6,3,19,43,"Chase County, Kansas",3024,48,6,13,10,29,9,19,7,4,16,26
"G2000190","2015-2019","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20019",,,"Chautauqua County, Kansas",40298,325,37,21,26,20,7,13,3,17,43,138,"Chautauqua County, Kansas",3557,70,18,19,16,17,7,15,5,12,23,43
"G2000210","2015-2019","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20021",,,"Cherokee County, Kansas",43175,2164,67,201,313,190,342,139,138,173,258,343,"Cherokee County, Kansas",3105,259,53,102,103,78,127,76,94,76,93,99
"G2000230","2015-2019","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20023",,,"Cheyenne County, Kansas",47639,244,7,31,38,11,16,10,10,14,21,86,"Cheyenne County, Kansas",6151,52,8,25,23,13,14,10,12,10,17,36
"G2000250","2015-2019","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20025",,,"Clark County, Kansas",53348,224,21,51,48,5,10,2,7,5,27,48,"Clark County, Kansas",5728,38,17,26,27,7,8,3,8,6,18,18
"G2000270","2015-2019","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20027",,,"Clay County, Kansas",53929,1017,17,102,87,99,191,177,77,77,67,123,"Clay County, Kansas",8007,200,13,74,57,56,116,105,77,67,53,61
"G2000290","2015-2019","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20029",,,"Cloud County, Kansas",45373,999,78,64,128,158,113,54,88,82,127,107,"Cloud County, Kansas",3246,160,43,33,63,86,62,38,71,52,67,53
"G2000310","2015-2019","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031",,,"Coffey County, Kansas",59583,865,49,172,96,99,52,50,23,56,124,144,"Coffey County, Kansas",4169,106,27,60,33,36,27,37,18,29,51,54
"G2000330","2015-2019","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033",,,"Comanche County, Kansas",54821,153,21,17,24,12,7,2,10,2,14,44,"Comanche County, Kansas",8956,38,18,17,17,7,5,3,12,5,13,20
"G2000350","2015-2019","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035",,,"Cowley County, Kansas",50102,4397,301,487,579,544,580,299,260,317,591,439,"Cowley County, Kansas",2779,340,118,128,137,144,142,99,97,103,146,112
