GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G1800590","2013-2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18059",,,"Hancock County, Indiana",70973,6218,203,756,666,1005,854,359,343,735,1003,294,"Hancock County, Indiana",1682,546,100,237,258,285,235,134,161,271,270,132
"G1800610","2013-2017","IN",,,"Indiana","18","Harrison County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18061",,,"Harrison County, Indiana",53897,2553,155,282,318,278,183,167,165,283,327,395,"Harrison County, Indiana",2441,300,120,119,145,117,83,121,78,121,133,122
"G1800630","2013-2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18063",,,"Hendricks County, Indiana",74245,12176,539,1160,1396,2348,1326,1176,639,865,1930,797,"Hendricks County, Indiana",1577,820,197,264,340,462,284,271,182,219,391,252
"G1800650","2013-2017","IN",,,"Indiana","18","Henry County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18065",,,"Henry County, Indiana",46131,4869,181,435,600,624,481,483,170,450,989,456,"Henry County, Indiana",1368,332,73,116,159,169,128,130,59,141,166,118
"G1800670","2013-2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18067",,,"Howard County, Indiana",47958,10958,800,1196,1413,1209,797,834,411,823,2429,1046,"Howard County, Indiana",1663,510,242,214,288,255,178,201,136,200,375,222
"G1800690","2013-2017","IN",,,"Indiana","18","Huntington County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18069",,,"Huntington County, Indiana",50063,3457,148,419,421,321,417,504,164,191,690,182,"Huntington County, Indiana",2039,275,85,106,126,110,140,128,88,83,144,82
"G1800710","2013-2017","IN",,,"Indiana","18","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18071",,,"Jackson County, Indiana",49080,4522,171,591,425,611,388,239,228,451,949,469,"Jackson County, Indiana",3445,357,81,177,136,170,119,86,103,165,206,127
"G1800730","2013-2017","IN",,,"Indiana","18","Jasper County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18073",,,"Jasper County, Indiana",56574,2883,92,164,406,360,338,195,111,258,584,375,"Jasper County, Indiana",2035,286,58,63,125,116,111,82,60,118,171,130
"G1800750","2013-2017","IN",,,"Indiana","18","Jay County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18075",,,"Jay County, Indiana",42878,2125,94,287,345,159,197,188,137,130,338,250,"Jay County, Indiana",2330,219,49,102,115,68,71,85,70,61,105,91
"G1800770","2013-2017","IN",,,"Indiana","18","Jefferson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18077",,,"Jefferson County, Indiana",50722,3584,259,389,405,609,351,209,170,114,861,217,"Jefferson County, Indiana",2808,361,141,131,162,198,109,106,93,64,197,125
